epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.07781745493412018,0.0010000000474974513,6.284832954406738,0.08857200294733047,6.161118984222412
1,0.10094844549894333,0.0010000000474974513,5.800787925720215,0.1117694303393364,5.973446846008301
2,0.1250055730342865,0.0010000000474974513,5.44993782043457,0.12382004410028458,5.876575946807861
3,0.14299263060092926,0.0010000000474974513,5.165838241577148,0.1346655935049057,5.879822731018066
4,0.15852488577365875,0.0010000000474974513,4.925001621246338,0.13797950744628906,5.879793643951416
5,0.17151305079460144,0.0010000000474974513,4.691428184509277,0.14089174568653107,5.924142360687256
6,0.18819460272789001,0.0005000000237487257,4.43233060836792,0.1417955458164215,5.967391490936279
7,0.19600535929203033,0.0005000000237487257,4.295825004577637,0.1449086219072342,6.015366554260254
8,0.20572416484355927,0.0005000000237487257,4.173701286315918,0.1452098786830902,6.05808162689209
9,0.21904708445072174,0.0002500000118743628,4.044929504394531,0.14671620726585388,6.07586145401001
10,0.2242356687784195,0.0002500000118743628,3.9936139583587646,0.14581240713596344,6.095064640045166
